name,url,category,title,description,author,upload_date,full_transcript
PLAX - Parasternal Long View,https://cloud.butterflynetwork.com/-/edu/FSQc3_imSXeFOog0J0UEyA,Cardiac,PLAX - Parasternal Long View,Learn how to obtain a parasternal long view for focused cardiac ultrasound,Adwana Clayton,12/12/2022,"I'm going to show you how to use the butterfly to perform a peristernal long view in focus cardiac ultrasound. First you'll choose the cardiac preset. Your patient can be laying flat or in the left lateral decubitous position. You'll place the probe on the chest in the left of sternum area in the inframamory or nipple line. You may have to choose a rib space above or below the area you first place the probe down in order to find the optimal rib space to scan the heart in. Once you choose your rib space you can optimize your image by choosing an appropriate depth and an appropriate gain. In a peristernal long view you'll see the pericardium which appears bright white and hypercoic. You'll see the left ventricle but not including the left ventricular apex. The right ventricle, the outflow area, the aorta including the aortic valve, the mitral valve, both the posterior and anterior leaflets and deep to the heart you'll see the descending thoracic aorta which will appear as a hypoacolic circular structure and that's how you perform a peristernal long axis view using the butterfly."
Consensual Light Reflex Exam,https://cloud.butterflynetwork.com/-/edu/YYpnEfu5RNm0Qi_gLak99Q,Ocular,Consensual Light Reflex Exam,Learn how to perform consensual light reflex exam with ultrasound,Adwana Clayton,12/12/2022,I'm going to show you how to perform a consensual light reflex examination using the butterfly. Now we have already placed the clear adhesive dressing over the eye that we're going to evaluate and what we're going to have the patient do next is actually close their eyes and have him with the eyes closed look down towards their feet. Just consistently just stay keep those eyes all the way looking down that way. Now normally when we're doing an eye examination we want to place a transducer over this superior eyelid with the tail basically up but to evaluate the pupil we actually need to angle the tail more towards the head and the beam a little more anterior and then there we're able to see the pupil right there on the iris. We're going to increase our gain just a tad bit and then we are going to shine light onto the closed eye and look for any change in the size. Right there we see some movement now pull it off the eye. Now back on the eye what we have visualized and right there we see movement of that pupil which confirms that the patient does have an intact consensual light reflex and that's how you use your butterfly to evaluate the consensual light reflex. [BLANK_AUDIO]
Tricuspid Annular Plane Systolic Excursion (TAPSE),https://cloud.butterflynetwork.com/-/edu/rlLOWHzfSsmkly-qGazdZg,Cardiac,Tricuspid Annular Plane Systolic Excursion (TAPSE),Learn how to obtain a TAPSE calculation using the Butterfly,Adwana Clayton,12/12/2022,"We are going to show you how to calculate the TAP-C or Tricuspid Annual Plane of Cystolic Excursion. The first thing that we're going to want to do is make sure that we're on the appropriate preset by hitting that preset button and selecting Cardiac and next Holly is going to show us how to obtain an apical 4-chamber view. After we get that apical 4-chamber view we can optimize our image just a tad bit by maneuvering the transducer changing the gain a bit because you want to see that lateral wall of that right ventricle and once you get a good view we're going to now put the emo tracing on it so hit the actions button and then hit the emo button and bring that emo cursor over to the lateral wall of that right ventricle. Now what we're seeing here is we're seeing just like two to three beats we want to see more of it so what you can do to change the sweep speed is just hit that fast button and now we've changed the sweep speed so we can see a lot more of that emo tracing. After we get a good emo tracing Holly is going to hit the freeze button and then calculate the excursion. The way that you do that is you select the measure button, hit the line tool and then select and it peek to a trough. So let's start off by placing it at the trough and then the second part of the line we're going to put it on the peak right there so we have a trough to peak and what's good about the butterfly app is that you just have to measure the slope and it will calculate the wide distance of that triangle for you and we see here a number of 2.04 for this patient's tapsee and that's how you use the butterfly to evaluate the patient's tapsee."
Optimizing the Cardiac Preset,https://cloud.butterflynetwork.com/-/edu/ievE1sA8TV2WfGN-22ecOQ,Cardiac,Optimizing the Cardiac Preset,Learn techniques to optimize cardiac images with the Butterfly iQ+,Adwana Clayton,12/12/2022,"So sometimes when you're scanning cardiac, you might need a different preset to help with those difficult patients or to identify certain structures. So we have a few different options. First, I am going to get a good apical for view on this patient. So here we've got our apical in view. I'm going to swipe left just a little bit to make it a tad darker. When I touch the screen, you see this icon with three little circles. Those are going to toggle between the different cardiac presets. Right now we're on the standard cardiac preset, which is good for your average cardiac scan. If we tap it once, it'll go over to cardiac coherence, which as you can see made the image a lot more black and white with a lot of contrast. This is good if you want to identify wall motion abnormalities. And then if you tap it one more time, it'll go over to cardiac deep, which is going to be good for your technically difficult patients. And those are the three cardiac presets available on the butterfly. [BLANK_AUDIO]"
Automated Bladder Volume Calculation,https://cloud.butterflynetwork.com/-/edu/usghrWxhRtylynLpWrgozg,Genitourinary,Automated Bladder Volume Calculation,Learn the steps to perform an automated bladder volume calculation using Butterfly.,Adwana Clayton,12/2/2022,I'm going to demonstrate how to obtain an automated bladder volume measurement using butterfly. The patient is laying flat and you can perform its exam from either the right or left side of the bed. First we're going to apply enough gel to the scanning surface of the butterfly to cover it. Next we're going to place the butterfly just above the pubic symphysis with the blue directional indicator dot facing towards the patient's right. As we slide up and down towards and away from the umbilicus the bladder will appear highlighted in blue as seen here. Next we will tilt the tail end to the cord end of the butterfly towards the head and away from the head until we obtain the largest volume of the bladder that we can see on the screen. Next we want to make sure that the box and the midline marker are aligned. We can slide left and right to make sure that the box within the bladder is lined up with the midline marker. Once we've achieved that press the calculate button and hold the probe still while an automated bladder volume is calculated. You can save that measurement and that's how you perform an automated bladder volume calculation using butterfly.
3rd Trimester  - Head Circumference (HC),https://cloud.butterflynetwork.com/-/edu/TdxzbieuQEmhdBwVrPss1g,OB/GYN,3rd Trimester - Head Circumference (HC),Learn how to measure head circumference in a 3rd trimester pregnancy,Adwana Clayton,10/20/2022,"We are going to estimate gestational age using biometry to measure head circumference. We are in the OB23 preset and I'm going to touch the actions button on the lower right side of the screen to choose fetal biometrics. I'll place the probe below where I already know the head is of the baby and I'm going to obtain an image where I can see the bright white circle of the skull all around the edge. I can see the folks to re-bry in the center of my screen and the thalamus. When I find the right image and plane of measurement, I'm going to hit freeze. Now I'm going to touch the measurement button on the lower right and choose HC for head circumference. Here we can first start by placing the little blue buttons around the edge of the bright white table of the skull and then we can use our other measurements to move this green circle to fit the ellipse around the edge of the skull. I have to make lots of micro adjustments, but our goal is to try to do a best fit with the green edge of this ellipse all the way around the bright white hypercoic edge of the skull. So here we can see the measurement at the bottom part of the screen gestational age 39 weeks one day. And remember, in the third trimester, this is plus minus three weeks. And that's how you use your butterfly to measure head circumference."
3rd Trimester - Femur Length (FL),https://cloud.butterflynetwork.com/-/edu/VRQyN1FwQ8eJsvDC0tW62w,OB/GYN,3rd Trimester - Femur Length (FL),Learn how to measure femur length in a 3rd trimester pregnancy,Adwana Clayton,10/19/2022,"Now, we're going to use the butterfly to measure femur length in the third trimester. We're going to estimate gestational age using fetal biometrics. We are in the OB23 preset and under actions, I'm going to hit fetal biometrics, which appears at the bottom of the screen. I'm going to place my probe at home base where I know the fetal head is. I'm going to zoom out so I get a big picture. Then I'm going to scan from the fetal head up the baby's body. Here's the fetal heart, the fetal abdomen, the fetal stomach, fetal spine. Now this fluid-filled structure is the fetal bladder. I'll put that in the center of my screen and begin looking for the femur. Here we see the upper leg and cross section with the femur in the center, in cross section. I'll place it in the center of my screen and twist my probe to see a long axis view of that femur. Once I'm happy with my long axis view of the femur, here I'm just going to change my depth to get that image a little bit bigger. Once I'm happy with that view, I'm going to go ahead and hit freeze. Now I'm going to tap the measurement icon in the bottom of the screen and choose FL for femur length. I'm going to place my caliper at the edge of the femur on one side and then on the edge of the femur on the other side. Here we see the femur length measuring 37 weeks and two days. And that's how you measure femur length using the butterfly. [BLANK_AUDIO]"
3rd Trimester  - Biparietal Diameter (BPD),https://cloud.butterflynetwork.com/-/edu/4atATp46RCiJA4YQ_EuFVw,OB/GYN,3rd Trimester - Biparietal Diameter (BPD),Learn how to measure biparietal diameter in a 3rd trimester pregnancy,Adwana Clayton,10/19/2022,"We are going to make some estimation of gestational age measurements using fetal biometry. I'm in the OB23 preset and I'm going to choose my action fetal biometrics before I start scanning. Here we see fetal biometrics appear at the bottom of the screen. I'm going to place my probe where I already know the head is and when I find my appropriate plane of measurement I'm going to go ahead and hit freeze. In this view for fetal biometrics of the head I want to make sure I see the bright white outline of the skull all the way around, the bright white line of the folk cerebride down the center, and arthallomus. Once I've obtained this view I'm going to tap the measurement button AA and hit BPD by parietal diameter. I'll use this blue button to move my caliper towards the outer edge of the skull on one side across the folk cerebride in a perpendicular manner to the inner table of the skull on the inside. The bipytle diameter here is shown in centimeters and in weeks 35 weeks five days. Remember in the third trimester this could be plus minus three weeks and that's how we measure bi-prietal diameter using your butterfly."
Ocular Exam,https://cloud.butterflynetwork.com/-/edu/_3GwvEx9TY-NZKMP7ppAEQ,Ocular,Ocular Exam,An introduction to ocular ultrasound,Adwana Clayton,10/19/2022,"I'm going to show you how to perform an ocular examination using your butterfly. Now the first thing I like to do is actually to protect the eye. I don't like when gel gets inside the fissure and I like it to be easy to clean up afterwards. So what I do is I take a clear adhesive dressing. We unstick it here. You have your patient close their eyes, as you want to do this on a closed eyelid, and then gently put the adhesive part over the eye or on top of the eye. Now remember air block sound waves, so you want to kind of work it just like this to make sure that you can get to the eyelid right there without any big air bubbles in it. Now most of the time we definitely want to take the wrapping off of it. I actually keep the outer kind of plastic wrapping of it on because it makes it a lot easier to clean it up afterwards and we'll see when we're done. Now go ahead and grab your butterfly probe, make sure that you have the appropriate preset. So we're going to go down to the opto preset, the optomic preset. Good. Now we're going to put the gel over the eye. I'm very liberal with the amount of gel that I put on. The more gel, the better in my opinion. So I'm going to put a big dollop right over that eye. Right there. Now you don't want to apply too much pressure on the eyeball itself. So what you always want to do is brace. If you're looking on this left side, you can brace on the cheek here, put the probe there if you happen to be looking at the opposite eye on the bridge of the nose. So we're going to brace here and put our transducer gently over the eye and we can easily see the eye there. After you place the transducer on the eye, you can notice a few structures. Now we can see the circular globe of the eye and this is going to be mostly the posterior chamber right here. Right up there at the very top is the anterior chamber, which is separated from the posterior chamber by the iris. And if we fan just a little bit lower, we can actually see right there that little curve is actually the lens, which you're able to see. Now as far as depth goes, I like to have my depth usually around five centimeters or so. So I can see posterior to the globe as well. The important structures posterior to the globe are going to be this hypoacolic line that we see back there that is actually the optic nerve sheath. Now we can use that to calculate any abnormalities in the optic nerve sheath diameter. We can also use this view to look for any deformation of the normally circular globe to look for any retro bull bar hematomas. Now if we are looking specifically for the most common applications of ocular ultrasound, which is retinal detachments, vitrese attachments and vitrese hemiges, what I usually do is I decrease the depth so that I'm only looking at that globe. Right here. And then I'm going to increase my gain a little bit right there. And now we can focus on that globe right there. This hypoacolic appearance of the posterior chamber is normal. It's good. What we're looking for is any hyperacolic structures inside that posterior chamber. Now I'm fanning through in the transverse plane. I don't see anything back there now, but one thing that you can do to help out is have the patient look left and right to see if you see any motion of any bitches, hemorrhage, detachments that you might see in the back of the eye. So go ahead and look left and right. And I'm still seeing it nice and hypoacolic in that chamber. Thank you. And if you are not sure, it's always good to get two planes. This is in transverse. You can always turn the probe to the probe marker facing up and basically get the same exact view of that eye. And that is how you use your butterfly to perform in ocular examination. [BLANK_AUDIO]"
Mitral Annular Plane Systolic Excursion (MAPSE),https://cloud.butterflynetwork.com/-/edu/d3ILu-6_TEGd6cRS4QifbQ,Cardiac,Mitral Annular Plane Systolic Excursion (MAPSE),Learn how to obtain a MAPSE calculation using the Butterfly,Adwana Clayton,10/19/2022,"This is how you obtain a mapsie or a mitral annular plane of systolic excursion. Make sure that you are in the appropriate preset by hitting that preset button and making sure that cardiac is selected. Now after that, Holly is going to get us a apical four chamber view. Now to get a good apical four chamber view, sometimes what you have to do is actually adjust the patient just a little bit to make sure that that tail is actually in the right place because the bed gets in the way if they're completely over onto their left side. After we get this apical four chamber view, we are going to calculate mapsie. So what we'll do is we'll hit the actions tab and hit the M mode button and place that M mode over the lateral border of that LV. And we can see here that we're actually seeing a great aim mode tracing right above. We're seeing a good excursion of that annulus around the mitral valve. Now you can actually change the sweep speed by hitting the slow button. If you hit it here, what we're seeing is we're seeing just a faster scroll, but for this, it's better to do the slow scroll, have the wider sweep speed there, and we're getting some good readings there. Now Holly is going to hit that freeze button for us. And now we're going to calculate that excursion. So what we're going to do is we're going to hit that measure button, select the line tool, and then measure basically the peak to the trough of that waveform of the annulus around the mitral valve. So you got to pick one line. It can be one line or the other. Holly is electing to choose just basically the top line and the bottom line there. And what you do is actually measure the slope. And this is actually a great function of the app here. You don't have to actually figure out what the Y axis is. You just measure the slope peak to the trough of one of those lines. And you can see that the Y axis is actually already calculated for you there. So it's measuring that excursion for you. We're seeing a number here of 1.39 centimeters for the mapsing. And that's how you use the butterfly to calculate the mapsie."
Prostate Volume,https://cloud.butterflynetwork.com/-/edu/NkMI6RycQNqhMi7rsc_eCA,Genitourinary,Prostate Volume,This video demonstrates how to measure prostate volume using the Butterfly,Adwana Clayton,9/30/2022,I'm going to demonstrate how to take a prostate volume measurement using the butterfly. First we want to make sure that we're in our bladder preset so I'm going to tap the presets button and select bladder. Once my preset is activated I'm going to place a little bit of gel on my patient's abdomen down towards the pubic bone. I'm going to start with the indicator pointed towards my patient's right. This is going to give me a short axis view of my bladder which I'm going to use to help me find the prostate. With my probe on the patient's low abdomen I'm going to start to rock down towards the patient's feet in order to locate the bladder. We can see this anechoic structure. Here's the bladder. I'm going to go ahead and decrease my depth a bit to optimize my image. And just deep to the bladder we can see our short axis view of our prostate. It's kind of a rounded hypoacoeic structure. I'm going to sweep through the prostate in order to find the largest area. Once I found the widest dimension of my prostate in the short axis I'm going to use the actions tab to activate the manual volume calculation. We can see manual volume at the bottom of our screen which lets us know that we're ready to start taking volume measurements. Once I'm happy with my image I'm going to tap the freeze button and we'll see that our manual volume calculation menu is on the bottom of the screen. I'm going to use the measurement and annotation tab and I'm going to select diameter 1 which is going to give me a set of calipers. In order to take a width measurement I want to place my calipers at the widest portion of the prostate. And once I'm happy with that measurement I can tap confirm and that's going to add that to my calculations package. I'm going to go ahead and unfreeze and I'm going to go into the long axis. I'm going to rotate my probe indicator towards my patient's head. We can see our anechoic bladder and deep to the bladder we can now see the long axis of our prostate. I'm going to sweep from right to left to ensure that I find the largest dimension before I press freeze. I'm going to go ahead and tap on my text and measurement tab and I'm going to go ahead and select diameter 2 which is going to give us a set of calipers. I'm going to go ahead and measure my greatest dimension. I'm going to confirm and then to get our third measurement I'm going to tap one more time grab my third set of calipers and go ahead and measure in the anteroposterior dimension. Now that I've completed all three measurements we can see that a volume appears at the bottom of the screen. In this case it's 29.9. If I'm happy with that I can store an image and we've now completed our volume measurements. And this is how you measure prostate volume using the butterfly.
Measuring and Labeling,https://cloud.butterflynetwork.com/-/edu/FXm2kgRhRsWgNc_LzhedTg,Intro,Measuring and Labeling,This video demonstrates how to measure and label using the Butterfly,Adwana Clayton,9/30/2022,"So we're going to go ahead and show you how easy it is to add labels and measurements using butterfly. Great, let's get started. I'm going to go ahead and take a look for his spleen. So here we are in the left upper quadrant with my indicator towards the patient's left shoulder, slightly down towards the bed, and I'm just getting the long axis of the spleen in view. Once I'm happy with my image, I'm going to go ahead and phrase. Alright, and then if we press the annotations tab with the two A's, we can get a line measurement. And just by touching the edges of the line and dragging, Janet's able to get a measurement of the spleen. In this case, we've got a measurement of about 12 centimeters that shows up at the bottom. And then if we wanted to add a label to this? Yeah, let's do that. I'm going to go back to this annotations menu and select the label button. As you can see here, we get a nice keyboard that comes up as well as some suggestions at the top. I'm going to scroll over here because I happen to know that we have the annotation we want, spleen, done. And then if I wanted to get fancy, I could drag it to whatever portion of the image I want to put it on. Fantastic. And then if we hit the camera, we've now saved the image to the image reel with a measurement and a label. that's how you do labeling and measuring with butterfly. [BLANK_AUDIO]"
Zoom,https://cloud.butterflynetwork.com/-/edu/8M8i48ngSbKDC2taf4EWog,Intro,Zoom,Using the zoom feature on the Butterfly,Adwana Clayton,9/30/2022,"If you want to get a closer look at one area of the ultrasound image, you can choose to zoom in on that area using the zoom function. Now I like to do that by double tapping on the screen, so in this case we have the radius down here in the bottom left of the image, this hypericolic curve structure, and if I double tap on it, I can zoom in and get a closer look. On the top right you can see the thumbnail that shows where I'm zoomed on the image overall. To exit out I'll simply double tap again and keep in mind that you can double tap anywhere on the image to zoom on that particular part of the image. Now if you have a tablet or phone that's mounted, you may also want to pinch to zoom, so I'm going to tick my probe off and you can see that you can get fine control doing the same pinching motion as you get with double tap, but when I'm holding a phone and scanning I like to double tap to zoom."
Unboxing the Butterfly,https://cloud.butterflynetwork.com/-/edu/_u0FvoBFT6CWJhLTTVNvjQ,Intro,Unboxing the Butterfly,This video shows you how to unbox your Butterfly device,Adwana Clayton,9/30/2022,"I'm going to take you through an unboxing of the butterfly IQ Plus and we'll take a look and see what's inside. First I'm just going to go ahead and remove the Saran wrap. And go ahead and remove the sleeve. We'll lift the top on the box. And here we have the IQ Plus itself and we'll lift that out and put it aside for the moment. We've got a getting started card that walks you through the initial steps you need to download the app, how to log into it and connect your butterfly IQ Plus to your mobile device and start scanning. A couple of stickers. We've got a tray in here with a charging pad and a USB cable to hook up to power, a charging adapter and several charging power supplies that will fit multiple power outlets. And that's what's in the box. We'll go ahead and put this aside. When you first unbox the IQ Plus it may come with a charge. You can press the button on the IQ Plus itself and in this case there's no charge. Regardless it's a good idea to charge it up first to get a full charge before you start scanning. I'm now going to remove the IQ Plus and the butterfly logo should align in the same direction as the butterfly logo on the IQ Plus for charging. And we'll go ahead and place that in the charging cradle. At which point it will start to glow blue as it's charging to let us know that charging is in progress. As we can see here we have one of the four indicator lights that's blinking indicating that the IQ Plus is starting to charge. When all four lights are illuminated we know that the IQ Plus is fully charged and ready to scan. [BLANK_AUDIO]"
Kidneys,https://cloud.butterflynetwork.com/-/edu/05z2XXIRT_e3YxyzUurPTw,Renal,Kidneys,This video demonstrates imaging of the kidneys using the Butterfly,Adwana Clayton,9/30/2022,"Let's take a quick look at the urinary tract for obstruction. The first thing I'm going to do is select the appropriate preset, which would be abdomen in this case. Select some gel on the probe. I'm going to start with the right kidney. With the indicator towards the patient's head, I'm going to place the butterfly on the flank. Here we see the inferior margin of the liver. I'm going to just angle my transducer posteriorly to come into the area of the kidney. You may find as you scan that the indicator actually ends up being slightly closer to the bed than the inferior portion of the transducer. This is very normal because the kidneys lie with the superior pull, slightly posterior, and the inferior pull, slightly anterior. Here we can see a nice sagittal view of the right kidney. Once we get that centered in our screen, I'm going to go ahead and fan out laterally until I don't see the kidney anymore, and then go ahead and fan medially. I'm going to take a second here and focus in on the collecting system. You can see some hypoacolic areas there within the collecting system area, but I want to see if that is actually collecting system or if that's vessel. In order to differentiate, I go to actions, put on color Doppler, and you can see that those areas fill with color. This filling indicates that they're vessels and not the collecting system. Now turning color off, I'm going to take my transducer with the indicator towards the patient's right, which on the side translates to towards the bed. We're going to look at the transverse images of the kidney. Once it's centered in my screen, I'm fanning up superiorly through the upper pull, and then slowly fanning inferiorly through the lower pull. Then coming back to the area where the kidney looks like a C to evaluate the collecting system. You can also put color on in this plane if you'd like, although right now it's not necessary. Transducer done with the right kidney can move on to the left. Little more gel on the transducer. Indicator towards the patient's head. And once I have this in view, you can really appreciate the fact that the transducer is at a slight angle with that indicator slightly closer to the bed. Again I'm going to fan laterally all the way through, then medially all the way through. Once again you can put color on to take a look at vessels. Now turning the transducer into the transverse plane with the indicator towards the patient's right which now translates towards the ceiling. Up through the upper pull, and then fanning down through the lower pull. Taking one more second to come back towards the collecting system. So here we're going to have a backward C. Okay now we go down and take a look at the bladder. Little more gel. I like to start looking at the bladder in the transverse plane, so the indicator will be towards me towards the patient's right hand side. It's very common as you see here when you put down the transducer, not to see the bladder. The majority of the time when this is the case, you're just not low enough. You really need to be down almost to the pubic symphysis. So here is his bladder and as you can see there's not a whole lot in it. I'm going to go ahead and decrease my depth so that we get a better view. And decrease my gain. What we're interested in here is looking at that posterior wall of the bladder to make sure that there are no stones sitting inside. We also want to look posterior to the bladder itself to make sure that there's no dilatation of the yerters. Once we're happy in this plane, we can turn the transducer 90 degrees indicator towards the head, again angling down into the pelvis and centering the bladder on the screen. Once it's centered, we can fan out patients right and then back towards the left. And this is how we evaluate the kidneys and the bladder for collecting system dilatation and also stones. [BLANK_AUDIO]"
Aorta Protocol,https://cloud.butterflynetwork.com/-/edu/ho4y4EwLSwiSbxQLwlZEig,Aorta,Aorta Protocol,This video demonstrates how to image the aorta using the aorta protocol,Adwana Clayton,9/30/2022,"So we're going to demonstrate how to do a focused abdominal aorta scan looking for aortic aneurysm using the aorta protocol tool. I find that the tool keeps me honest in terms of making sure I'm documenting and labeling the images as I'm saving them and helps me move through that workflow faster. Okay, in order to get started, let's hit presets and select the aorta and gallbladder preset. Next, I'm going to go to the Actions tab and activate the aorta protocol. And this is a great reminder of what images we want to include in our exam. So there's a proximal mid and distal measurement at the bifurcation, just proximal to the bifurcation, and then a longitudinal measurement. So let's go ahead and start proximally transverse, which is how we usually begin the exam. Great. With my indicator towards the patient's right hand side, I'm placing the transducer just below the xiphoid process. I like to try to use the left lobe of the liver as a window if possible. And here you can see just deep to the liver tissue that hypoacolic circle and a coic circle pulsating, which is the aorta. Sitting right on top of the hyperacolic line, which is the vertebral body, which is a good landmark for the abdominal aorta. So we'll go ahead and freeze there. And then using the annotations tool, we'll put some calipers on and get a measurement of the outer wall to outer wall. Typically, these measurements are going to be near field to far field or anterior posterior. We're looking for a measurement under three centimeters, which we're well under here. So we'll save that. And then as we exit out of that view by unfreezing, we're brought back to the protocol. We can go ahead and select our next view. And we can see that we're automatically labeled for the next view. So no need to go into label the images. As you step through, it's going to just automatically take you to the next view in the sequence. As we come down into the mid portion here, the aorta course is a little bit more anteriorly, so I'm going to decrease my depth. OK. We're freezing the image. And while Janet's obtaining that measurement, really important to note how much compression she has on the abdomen and how moving bowel gas out of the way is the byproduct of that degree of pressure. So sometimes I'll actually have both hands on the transducer because you need to put so much pressure on. And the patient's tolerated tremendously well. I just warn them in advance. If it's uncomfortable, let me know. We can ease up. But getting some of that bowel gas out of the way will actually bring the butterfly closer to the aorta and will let you get a better image. And certainly, gas gets in the way of a good old shot image, so we do want to try and displace that. So as we're working down towards the bifurcation, there we are at the distal aorta, and then we've got the lumbar spine just below. We'll go ahead and obtain a measurement there as well. Out or wall to outer wall, still well within the range of normal. And you'll see these measurements get smaller as you go down. A normal abdominal aorta will taper as it gets more distal, so that's normal. And then we'll go ahead into a longitudinal view. So the indicator up towards the patient's head, we bring the butterfly back to the zifeway process because we're looking for a proximal measurement. When we do a longitudinal measurement, we want to make sure we're not looking at the vena cava. So we'll fan towards the patient's right, and here we can see the inferior vena cava just below the liver. And then as we fan towards the patient's left, that structure deeper to the liver there is the proximal abdominal aorta. And we'll freeze there. We'll get another measurement perpendicular to the axis of the aorta to make sure it's a true perpendicular measurement. And we'll save that image. And once we save that image and unfreeze, if we exit the protocol, it's going to ask if we want to exit, we're going to confirm that we do. And those images are going to be automatically labeled in your exam reel. [BLANK_AUDIO]"
eFAST,https://cloud.butterflynetwork.com/-/edu/YqlVPldnQbm-IOqPus4rnA,FAST,eFAST,This video demonstrates the eFAST exam,Adwana Clayton,9/30/2022,"So, the E-Fast or extended fast exam allows us to evaluate trauma patients for the presence of pneumothorax, hemoparacardium, or hemoparitineum. I'm going to demonstrate how to do an E-Fast exam using the E-Fast protocol. So first we'll go into presets and we'll select the fast preset. And then we'll go into the actions tab and select the E-Fast protocol. Now you don't have to use every window in this protocol, but if you're doing a full E-Fast exam, you may choose to use all. I'm going to show you that this auto labels your images. So this keeps me honest, helps me document my studies appropriately and make sure I'm labeling all of my views. You can sequence your E-Fast any way you want. I'm going to start with the lung in this case. So we'll click on RL for right lung. We can see it's labeled right lung already. And I'm going to place the butterfly on the right anterior chest with the indicator towards the patient's head. Now because we're looking for lung sliding, I'm going to decrease the depth so we can look at the pleural line and decrease the gain a bit. And once I'm happy that I'm seeing sliding at the pleural line, I'm going to hit the camera button to record. When I hit stop, I'm now brought back to the home screen of the E-Fast protocol. I'm going to select the left lung and auto labels the image for me. And now I can take a look at the left lung, note that they're sliding. Go ahead and save a clip. And brought back to the home screen. We'll move on to the cardiac portion of the exam. And I'll do a peristonal long axis view. And placing the butterfly just to the left of the sternum, increasing my depth a bit, adjusting my gain. I can determine that there's no hemopericardium. Save a clip for documentation. And then move on to a subcostal view. Basically clinically, either a subcostal or a peristonal long is sufficient for evaluation for hemopericardium. In this case, I'll demonstrate both. So let's have you take a deep breath in. And we can see the subcostal view of the heart there. I'm going to save a clip. And now we're ready to move on to the abdominal portion of the E-Fast exam. So we'll start off in the right upper quadrant. I'm going to click R-U-Q. We're auto-labeled. And then I'm going to place the butterfly around the level of the Zifeway process in the right mid-axillary line with the indicator towards the head. Here I've got liver. And if I fan down towards the bed, I've got the hepatorhenyl interface or Marson's pouch. I can see that there's no fluid above the diaphragm, so no hemothorax. And I can take a look while recording a clip, fanning all the way through the interface and catching the inferior pull of the right kidney, as well as the inferior lobe of the liver. I'm going to stop there. And next, I'll be moving on to the left upper quadrant. I'm going to select L-U-Q. I'm going to place the probe in the left upper quadrant with the indicator towards the head in the posterior axillary line. And I'll often rotate the probe slightly to improve my window. And here I can see above the diaphragm there's no fluid. I can see the diaphragm and the spleen, the interface of the spleen and diaphragm, there's no fluid there. Splendorhenyl interface and the inferior pull of the spleen. And now we'll move on to the last window, which is the pelvic window. I'm going to select pelvis. Place the butterfly with the indicator towards the patient's head. I like to do a sagittal view of the pelvis and just above the pubic symphysis. And then you'll need to rock the probe into the pelvis so you're over the brim of the pelvis to get a view of the bladder. From here you can adjust depth and gain as desired, save a clip and fan through the bladder left and right to make sure that there's no fluid deep to the bladder. When you're done, you'll be brought back to the home screen again. I can simply exit the protocol, confirm that I want to exit and my images are stored and documented in the exam reel and ready for storage. And that's how you perform an E-Fast protocol with the E-Fast protocol tool. [BLANK_AUDIO]"
